FIPS,State,County,education_less_than_high_school_percent,percent_no_heath_insurance,median_household_income,poverty_perc
2013,AK,Aleutians East,13.4,23.3,79000,15.1
2016,AK,Aleutians West,8.2,17.7,92000,8.1
2020,AK,Anchorage,6,11.1,85000,8.3
2050,AK,Bethel,16.5,16.8,52000,25.3
2060,AK,Bristol Bay,6.2,15.1,87000,10.7
2068,AK,Denali,2.3,11.5,80000,6.4
2070,AK,Dillingham,13.5,15.5,72000,18.7
2090,AK,Fairbanks North Star,5.5,11.3,77000,7.2
2100,AK,Haines,2,12.6,105000,9.6
2105,AK,Hoonah-Angoon,6,20,56000,12.7
2110,AK,Juneau ,3.8,11.4,89000,8.1
2122,AK,Kenai Peninsula,7,13.8,68000,10.6
2130,AK,Ketchikan Gateway,6.1,13.5,77000,8.3
2150,AK,Kodiak Island,10.4,18.2,72000,7.5
2164,AK,Lake and Peninsula,11.8,19.1,54000,17.6
2170,AK,Matanuska-Susitna,6.4,12.8,90000,8.7
2180,AK,Nome,14,17.2,64000,18.8
2185,AK,North Slope,11.3,13.2,95000,11.1
2188,AK,Northwest Arctic,15.5,17.5,65000,18.5
2195,AK,Petersburg,10.8,16.7,66000,7.4
2198,AK,Prince of Wales-Hyder,8.7,18.9,54000,15.9
2220,AK,Sitka ,4.8,13.4,79000,7.4
2230,AK,Skagway,11.5,11.1,78000,3.8
2240,AK,Southeast Fairbanks,8.9,18.3,65000,11.7
2261,AK,Valdez-Cordova,-1,14.7,-1,-1
2158,AK,Kusilvak,21.4,15.6,38000,27.9
2275,AK,Wrangell ,11.7,18.4,65000,10.6
2282,AK,Yakutat ,5.6,18.2,68000,12.4
2290,AK,Yukon-Koyukuk,12,20,43000,20.5
6001,CA,Alameda,11.2,5.1,114000,8.6
6005,CA,Amador,8.8,7.5,68000,10.3
6007,CA,Butte,10.3,7.8,55000,17.3
6009,CA,Calaveras,10.3,7.9,66000,11.6
6011,CA,Colusa,27.2,12.2,59000,10.3
6013,CA,Contra Costa,10.1,6.5,106000,7.2
6015,CA,Del Norte,20.3,8.4,47000,18.5
6017,CA,El Dorado,6,6.2,88000,8.4
6021,CA,Glenn,25.5,12.4,58000,12.4
6023,CA,Humboldt,9.4,9.5,56000,15.8
6031,CA,Kings,26,9.4,60000,14.5
6033,CA,Lake,13.8,9.4,52000,15.9
6035,CA,Lassen,19.5,5,64000,15.5
6041,CA,Marin,6.4,5.3,128000,6
